datetime,month,hour,total_energy_kwh,source,power_outage,temperature_celsius,foot_traffic,hvac_kwh,lighting_kwh,escalators_kwh,refrigeration_kwh,security_it_kwh,other_kwh
2026-01-01 00:00:00,1,0,985.3,Grid,0,17.9,0,413.83,275.88,88.68,88.68,59.12,59.12
2026-01-01 01:00:00,1,1,958.48,Grid,0,18.1,0,402.56,268.37,86.26,86.26,57.51,57.51
2026-01-01 02:00:00,1,2,1004.5,Grid,0,16.2,0,421.89,281.26,90.41,90.41,60.27,60.27
2026-01-01 03:00:00,1,3,979.34,Grid,0,15.7,0,411.32,274.22,88.14,88.14,58.76,58.76
2026-01-01 04:00:00,1,4,990.16,Grid,0,16.8,0,415.87,277.25,89.11,89.11,59.41,59.41
2026-01-01 05:00:00,1,5,987.69,Grid,0,14.7,0,414.83,276.55,88.89,88.89,59.26,59.26
2026-01-01 06:00:00,1,6,992.21,Grid,0,16.2,0,416.73,277.82,89.3,89.3,59.53,59.53
2026-01-01 07:00:00,1,7,903.39,Generator,1,18.4,0,379.42,252.95,81.31,81.31,54.2,54.2
2026-01-01 08:00:00,1,8,2412.12,Grid,0,18.4,0,1013.09,675.39,217.09,217.09,144.73,144.73
2026-01-01 09:00:00,1,9,4046.2,Grid,0,21.4,3055,1699.4,1132.93,364.16,364.16,242.77,242.77
2026-01-01 10:00:00,1,10,3855.59,Grid,0,21.5,2911,1619.35,1079.56,347.0,347.0,231.34,231.34
2026-01-01 11:00:00,1,11,3901.95,Grid,0,23.5,2946,1638.82,1092.55,351.18,351.18,234.12,234.12
2026-01-01 12:00:00,1,12,7146.64,Grid,0,27.8,4143,3001.59,2001.06,643.2,643.2,428.8,428.8
2026-01-01 13:00:00,1,13,7394.58,Grid,0,27.4,4379,3105.73,2070.48,665.51,665.51,443.68,443.68
2026-01-01 14:00:00,1,14,7366.43,Grid,0,27.4,4368,3093.9,2062.6,662.98,662.98,441.99,441.99
2026-01-01 15:00:00,1,15,5282.66,Grid,0,28.7,2902,2218.72,1479.15,475.44,475.44,316.96,316.96
2026-01-01 16:00:00,1,16,4745.85,Grid,0,27.0,2891,1993.26,1328.84,427.13,427.13,284.75,284.75
2026-01-01 17:00:00,1,17,7229.94,Grid,0,26.2,4638,3036.57,2024.38,650.69,650.69,433.8,433.8
2026-01-01 18:00:00,1,18,6833.24,Grid,0,26.1,4427,2869.96,1913.31,614.99,614.99,409.99,409.99
2026-01-01 19:00:00,1,19,6854.44,Grid,0,26.4,4348,2878.86,1919.24,616.9,616.9,411.27,411.27
2026-01-01 20:00:00,1,20,4591.94,Grid,0,25.6,3077,1928.61,1285.74,413.27,413.27,275.52,275.52
2026-01-01 21:00:00,1,21,4219.39,Grid,0,24.4,3077,1772.14,1181.43,379.74,379.74,253.16,253.16
2026-01-01 22:00:00,1,22,983.94,Grid,0,20.5,0,413.25,275.5,88.55,88.55,59.04,59.04
2026-01-01 23:00:00,1,23,979.91,Grid,0,21.5,0,411.56,274.38,88.19,88.19,58.79,58.79
2026-01-02 00:00:00,1,0,1015.39,Grid,0,19.8,0,426.47,284.31,91.39,91.39,60.92,60.92
2026-01-02 01:00:00,1,1,963.69,Grid,0,18.1,0,404.75,269.83,86.73,86.73,57.82,57.82
2026-01-02 02:00:00,1,2,1018.04,Grid,0,18.3,0,427.58,285.05,91.62,91.62,61.08,61.08
2026-01-02 03:00:00,1,3,997.86,Grid,0,16.5,0,419.1,279.4,89.81,89.81,59.87,59.87
2026-01-02 04:00:00,1,4,967.71,Grid,0,14.6,0,406.44,270.96,87.09,87.09,58.06,58.06
2026-01-02 05:00:00,1,5,1030.48,Grid,0,17.2,0,432.8,288.53,92.74,92.74,61.83,61.83
2026-01-02 06:00:00,1,6,988.34,Grid,0,16.0,0,415.1,276.73,88.95,88.95,59.3,59.3
2026-01-02 07:00:00,1,7,978.11,Grid,0,18.5,0,410.81,273.87,88.03,88.03,58.69,58.69
2026-01-02 08:00:00,1,8,2477.65,Grid,0,19.5,0,1040.61,693.74,222.99,222.99,148.66,148.66
